Order Type,State,PinCode,Address,Franchise Id,Franchise Code,Active,Franchise Name,Order Id,Invoice Id,Order Amount,Received At,Invoiced At,Invoiced_Month,Status,Company,Brand,Brand Category,Product,Product Variant,Product MRP,Product SKU,HSN Code,Product Unit Type,Product Unit Quantity,Product Case Size,Order Case,Order Quantity,Rlp Value,Order Value,Order GST,Applied Gst Rate,XPand margin (%),XPand margin(value),Finalize margin (%),Landing Purchase Price,Scheme Type (Company Discount),Company Discount  (in %),Applied Without Gst Company Discount,Applied Gst Company Discount,Free Variant From Company,Free Quantity From Company,Scheme Type (Xpand Discount),Xpand Discount (in %),Applied Without Gst Xpand Discount,Applied Gst Xpand Discount,Free Variant From Xpand,Free Quantity From Xpand,Warehouse Consumption,Company Consumption,sale
Normal,East Uttar Pradesh,221306,"KHAMARIA, KHAMARIA, Sant Ravidas Nagar, Uttar Pradesh",66,FNUP054,inactive,MIHIR ENTER PRISES,F5721C107D-A,LMC21-22/UP00782,8554.996863,2022-01-21 06:48:41,2022-01-28 17:36:28,1,Delivered,Soothe Healthcare Pvt Ltd,PAREE,SANITARY PADS,Paree Dry XL Base (18),Paree Dry XL Base (18),80,8.908E+12,,,18,36,1,36,70.175439,2339.181288,0,,,,,2136.374283,percentage_discount,16.67,389.9415207,,,,,,,,,,,,1949
Normal,East Uttar Pradesh,221306,"KHAMARIA, KHAMARIA, Sant Ravidas Nagar, Uttar Pradesh",66,FNUP054,inactive,MIHIR ENTER PRISES,F5721C107D-A,LMC21-22/UP00782,8554.996863,2022-01-21 06:48:41,2022-01-28 17:36:28,1,Delivered,Soothe Healthcare Pvt Ltd,PAREE,SANITARY PADS,Paree Dry XL Base (6),Paree Dry XL Base (6),30,8.908E+12,,,6,116,2,232,26.315789,5653.021504,0,,,,,5162.904363,percentage_discount,16.67,942.3586847,,,,,,,,,,,,4711
Normal,East Uttar Pradesh,221306,"KHAMARIA, KHAMARIA, Sant Ravidas Nagar, Uttar Pradesh",66,FNUP054,inactive,MIHIR ENTER PRISES,F5721C107D-B,LMC21-22/UP00875,6393.762048,2022-01-21 06:48:41,2022-01-28 19:26:38,1,Delivered,Soothe Healthcare Pvt Ltd,SUPER CUTE'S,DIAPERS,Super Cutes Base (S 2),Super Cutes Base (S 1),10,8.908E+12,,,1,240,3,720,8.77193,5221.38672,626.56632,12,,,,5146.198992,percentage_discount,20,1044.277344,125.313264,,,,,,,,,,,4678
Normal,East Uttar Pradesh,221306,"KHAMARIA, KHAMARIA, Sant Ravidas Nagar, Uttar Pradesh",66,FNUP054,inactive,MIHIR ENTER PRISES,F5721C107D-B,LMC21-22/UP00875,6393.762048,2022-01-21 06:48:41,2022-01-28 19:26:38,1,Delivered,Soothe Healthcare Pvt Ltd,SUPER CUTE'S,DIAPERS,Super Cutes Base (M 2),Super Cutes Base (M 1),11,8.908E+12,,,1,240,1,240,9.649123,1914.50856,229.74096,12,,,,1886.939616,percentage_discount,20,382.901712,45.948192,,,,,,,,,,,1715
Normal,East Uttar Pradesh,221306,"KHAMARIA, KHAMARIA, Sant Ravidas Nagar, Uttar Pradesh",66,FNUP054,inactive,MIHIR ENTER PRISES,99E958168C-A,LMC21-22/UP00780,2269.503552,2022-01-21 06:57:30,2022-01-28 17:34:44,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,KOPIKO,KOPIKO,KOPIKO JAR,KOPIKO CAPPUCINO 12 JARX 240 X3.5G (CAPPUCINO),240,310240,,,240,12,1,12,200,2026.342452,243.1611,12,,,,2400,,,,,,,,,,,,,,,2270
Normal,East Uttar Pradesh,221306,"KHAMARIA, KHAMARIA, Sant Ravidas Nagar, Uttar Pradesh",66,FNUP054,inactive,MIHIR ENTER PRISES,99E958168C-B,LMC21-22/UP00781,1962.26416,2022-01-21 06:57:31,2022-01-28 17:34:46,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,CHOKI CHOKI,CHOKI CHOKI,CHOKI CHOKI GB,CHOKI CHOKI CASHEW FLAR 16GBX 30X 8G (CHOKI CHOKI),150,324563,,,30,16,1,16,130,1662.935728,299.328432,18,,,,2080,,,,,,,,,,,,,,,1962
Normal,West Uttar Pradesh,244235,"MOH. KAVI NAGAR, PUSHKAR VALIKA, DHANAURA ROAD, GAJRAULA, Amroha, Uttar Pradesh",161,FNUP1012,inactive,Gupta Stationers & General Store,7A0A29A054-A,LMC21-22/UP00691,3933.806144,2022-01-21 07:02:08,2022-01-28 14:15:51,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,MALKIST,MALKIST,MALKIST Singles,MALKIST CHOCOLATE GB 16X30X23GR (CHOCOLATE),150,320698,,,30,16,1,16,130,1666.867008,300.036064,18,,,,2080,,,,,,,,,,,,,,,1967
Normal,West Uttar Pradesh,244235,"MOH. KAVI NAGAR, PUSHKAR VALIKA, DHANAURA ROAD, GAJRAULA, Amroha, Uttar Pradesh",161,FNUP1012,inactive,Gupta Stationers & General Store,7A0A29A054-A,LMC21-22/UP00691,3933.806144,2022-01-21 07:02:08,2022-01-28 14:15:51,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,MALKIST,MALKIST,MALKIST Singles,MALKIST CHEESE GB 16 X 30 X 23GR (CHEESE),150,321006,,,30,16,1,16,130,1666.867008,300.036064,18,,,,2080,,,,,,,,,,,,,,,1967
Normal,West Uttar Pradesh,244235,"MOH. KAVI NAGAR, PUSHKAR VALIKA, DHANAURA ROAD, GAJRAULA, Amroha, Uttar Pradesh",161,FNUP1012,inactive,Gupta Stationers & General Store,7A0A29A054-B,LMC21-22/UP00690,14035.0873,2022-01-21 07:02:08,2022-01-28 17:53:18,1,Delivered,Soothe Healthcare Pvt Ltd,SUPER CUTE'S,DIAPERS,Super Cutes Base (S 2),Super Cutes Base (S 1),10,8.908E+12,,,1,240,9,2160,8.77193,15664.16016,1879.69896,12,,,,15438.59698,percentage_discount,20,3132.832032,375.939792,,,,,,,,,,,14035
Normal,Bihar,854311,"Tarabari, Araria, Bihar",83,FNBR050,active,Gupta General Store_Tarabari,12DD2D794D-A,LMC21-22/BR00518,11801.41843,2022-01-21 07:32:27,2022-01-28 13:33:44,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,MALKIST,MALKIST,MALKIST Singles,MALKIST CHEESE GB 16 X 30 X 23GR (CHEESE),150,321006,,,30,16,6,96,130,10001.20205,1800.216384,18,,,,12480,,,,,,,,,,,,,,,11801
Normal,Bihar,854311,"Tarabari, Araria, Bihar",83,FNBR050,active,Gupta General Store_Tarabari,12DD2D794D-B,LMC21-22/BR00517,3449.645376,2022-01-21 07:32:27,2022-01-28 13:33:50,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,GO CHOCO,GO CHOCO,GO CHOCO JAR,GO CHOCO ROLLZ JAR 12 X 35 PCS X 12GR,175,322947,,,35,12,2,24,152,2923.428288,526.217088,18,,,,3648,,,,,,,,,,,,,,,3450
Normal,Bihar,854311,"Tarabari, Araria, Bihar",83,FNBR050,active,Gupta General Store_Tarabari,12DD2D794D-C,LMC21-22/BR00602,3118.908288,2022-01-21 07:32:27,2022-01-28 14:45:45,1,Delivered,Soothe Healthcare Pvt Ltd,SUPER CUTE'S,DIAPERS,Super Cutes Base (S 2),Super Cutes Base (S 1),10,8.908E+12,,,1,240,2,480,8.77193,3480.92448,417.71088,12,,,,3430.799328,percentage_discount,20,696.184896,83.542176,,,,,,,,,,,3119
Normal,Bihar,843113,"Marwan Chowk,Muzaffapur",242,FEBR1033,inactive,New Shreya Enterprises,75613CABA7-A,LMC21-22/BR00558,24302.60054,2022-01-21 07:35:38,2022-01-28 14:24:21,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,KOPIKO,KOPIKO,KOPIKO JAR,KOPIKO CAPPUCINO 4X650X3.5G (CAPPUCINO (310251)),650,310251,,,650,4,7,28,575.000001,13593.38064,1631.205688,12,,,,16100.00003,,,,,,,,,,,,,,,15225
Normal,Bihar,843113,"Marwan Chowk,Muzaffapur",242,FEBR1033,inactive,New Shreya Enterprises,75613CABA7-A,LMC21-22/BR00558,24302.60054,2022-01-21 07:35:38,2022-01-28 14:24:21,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,KOPIKO,KOPIKO,KOPIKO JAR,KOPIKO CAPPUCINO 12 JARX 240 X3.5G (CAPPUCINO),240,310240,,,240,12,4,48,200,8105.369808,972.6444,12,,,,9600,,,,,,,,,,,,,,,9078
Normal,Bihar,843113,"Marwan Chowk,Muzaffapur",242,FEBR1033,inactive,New Shreya Enterprises,75613CABA7-B,LMC21-22/BR00557,15735.22458,2022-01-21 07:35:38,2022-01-28 14:24:26,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,MALKIST,MALKIST,MALKIST Singles,MALKIST CHEESE GB 16 X 30 X 23GR (CHEESE),150,321006,,,30,16,8,128,130,13334.93606,2400.288512,18,,,,16640,,,,,,,,,,,,,,,15735
Normal,Bihar,843113,"Marwan Chowk,Muzaffapur",242,FEBR1033,inactive,New Shreya Enterprises,75613CABA7-C,LMC21-22/BR00619,7959.395758,2022-01-21 07:35:38,2022-01-28 14:50:40,1,Delivered,Soothe Healthcare Pvt Ltd,PAREE,SANITARY PADS,Paree Dry Base (20),Paree Dry Base (20),75,8.908E+12,,,20,40,2,80,65.789474,4873.2944,0,,,,,4450.779744,percentage_discount,16.67,812.3781765,,,,,,,,,,,,4061
Normal,Bihar,843113,"Marwan Chowk,Muzaffapur",242,FEBR1033,inactive,New Shreya Enterprises,75613CABA7-C,LMC21-22/BR00619,7959.395758,2022-01-21 07:35:38,2022-01-28 14:50:40,1,Delivered,Soothe Healthcare Pvt Ltd,PAREE,SANITARY PADS,Paree Dry XL Base (18),Paree Dry XL Base (18),80,8.908E+12,,,18,36,2,72,70.175439,4678.362576,0,,,,,4272.748567,percentage_discount,16.67,779.8830414,,,,,,,,,,,,3898
Normal,Bihar,843113,"Marwan Chowk,Muzaffapur",242,FEBR1033,inactive,New Shreya Enterprises,75613CABA7-D,LMC21-22/BR00618,8109.161664,2022-01-21 07:35:38,2022-01-28 14:50:43,1,Delivered,Soothe Healthcare Pvt Ltd,SUPER CUTE'S,DIAPERS,Super Cutes Base (M 2),Super Cutes Base (M 1),11,8.908E+12,,,1,240,2,480,9.649123,3829.01712,459.48192,12,,,,3773.879232,percentage_discount,20,765.803424,91.896384,,,,,,,,,,,3431
Normal,Bihar,843113,"Marwan Chowk,Muzaffapur",242,FEBR1033,inactive,New Shreya Enterprises,75613CABA7-D,LMC21-22/BR00618,8109.161664,2022-01-21 07:35:38,2022-01-28 14:50:43,1,Delivered,Soothe Healthcare Pvt Ltd,SUPER CUTE'S,DIAPERS,Super Cutes Base (S 2),Super Cutes Base (S 1),10,8.908E+12,,,1,240,3,720,8.77193,5221.38672,626.56632,12,,,,5146.198992,percentage_discount,20,1044.277344,125.313264,,,,,,,,,,,4678
Normal,Bihar,804404,Chakand Bazar Near masjid chakand gaya,200,FEBR1016,inactive,Akw Enterprises,859B6BB453-B,LMC21-22/BR00478,45238.77066,2022-01-21 07:40:46,2022-01-28 13:23:42,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,MALKIST,MALKIST,MALKIST Singles,MALKIST CHEESE GB 16 X 30 X 23GR (CHEESE),150,321006,,,30,16,13,208,130,21669.2711,3900.468832,18,,,,27040,,,,,,,,,,,,,,,25570
Normal,Bihar,804404,Chakand Bazar Near masjid chakand gaya,200,FEBR1016,inactive,Akw Enterprises,859B6BB453-B,LMC21-22/BR00478,45238.77066,2022-01-21 07:40:46,2022-01-28 13:23:42,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,MALKIST,MALKIST,MALKIST Singles,MALKIST CHOCOLATE GB 16X30X23GR (CHOCOLATE),150,320698,,,30,16,10,160,130,16668.67008,3000.36064,18,,,,20800,,,,,,,,,,,,,,,19669
Normal,Bihar,804404,Chakand Bazar Near masjid chakand gaya,200,FEBR1016,inactive,Akw Enterprises,859B6BB453-C,LMC21-22/BR00477,13522.45866,2022-01-21 07:40:46,2022-01-28 13:23:47,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,KOPIKO,KOPIKO,KOPIKO JAR,KOPIKO CAPPUCINO 12 JARX 240 X3.5G (CAPPUCINO),240,310240,,,240,12,5,60,200,10131.71226,1215.8055,12,,,,12000,,,,,,,,,,,,,,,11348
Normal,Bihar,804404,Chakand Bazar Near masjid chakand gaya,200,FEBR1016,inactive,Akw Enterprises,859B6BB453-C,LMC21-22/BR00477,13522.45866,2022-01-21 07:40:46,2022-01-28 13:23:47,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,KOPIKO,KOPIKO,KOPIKO JAR,KOPIKO CAPPUCINO 4X650X3.5G (CAPPUCINO (310251)),650,310251,,,650,4,1,4,575.000001,1941.91152,233.029384,12,,,,2300.000004,,,,,,,,,,,,,,,2175
Normal,Bihar,804404,Chakand Bazar Near masjid chakand gaya,200,FEBR1016,inactive,Akw Enterprises,859B6BB453-D,LMC21-22/BR00650,6970.415112,2022-01-21 07:40:46,2022-02-03 00:27:20,2,Delivered,United Biscuits Private Limited,MCVITIE'S,DIGESTIVE,"Digs Mini (216x29.25g) (CDU, Rs.5)","Digs Mini (216x32.5g) (CDU, Rs.5)",5,1000606,,,33,216,5,1080,4.46,3850.97544,693.17532,18,,,,4816.8,,,,,,,,,,,,,,,4544
Normal,Bihar,804404,Chakand Bazar Near masjid chakand gaya,200,FEBR1016,inactive,Akw Enterprises,859B6BB453-D,LMC21-22/BR00650,6970.415112,2022-01-21 07:40:46,2022-02-03 00:27:20,2,Delivered,United Biscuits Private Limited,MCVITIE'S,MARIE,"Marie (96x83.3g) (68g+15.3g Extra,Rs.10)","Marie (96x83.3g) (68g+15.3g Extra,Rs.10)",10,1000635,,,83,96,3,288,8.93,2056.156128,370.108224,18,,,,2571.84,,,,,,,,,,,,,,,2426
Normal,Bihar,804404,Chakand Bazar Near masjid chakand gaya,200,FEBR1016,inactive,Akw Enterprises,859B6BB453-E,LMC21-22/BR00592,19181.28614,2022-01-21 07:40:46,2022-01-28 14:41:35,1,Delivered,Soothe Healthcare Pvt Ltd,SUPER CUTE'S,DIAPERS,Super Cutes Base (S 2),Super Cutes Base (S 1),10,8.908E+12,,,1,240,10,2400,8.77193,17404.6224,2088.5544,12,,,,17153.99664,percentage_discount,20,3480.92448,417.71088,,,,,,,,,,,15595
Normal,Bihar,804404,Chakand Bazar Near masjid chakand gaya,200,FEBR1016,inactive,Akw Enterprises,859B6BB453-E,LMC21-22/BR00592,19181.28614,2022-01-21 07:40:46,2022-01-28 14:41:35,1,Delivered,Soothe Healthcare Pvt Ltd,SUPER CUTE'S,DIAPERS,Super Cutes Base (M 2),Super Cutes Base (M 1),11,8.908E+12,,,1,240,1,240,9.649123,1914.50856,229.74096,12,,,,1886.939616,percentage_discount,20,382.901712,45.948192,,,,,,,,,,,1715
Normal,Bihar,804404,Chakand Bazar Near masjid chakand gaya,200,FEBR1016,inactive,Akw Enterprises,859B6BB453-E,LMC21-22/BR00592,19181.28614,2022-01-21 07:40:46,2022-01-28 14:41:35,1,Delivered,Soothe Healthcare Pvt Ltd,SUPER CUTE'S,DIAPERS,Super Cutes Base (L 2),Super Cutes Base (L 1),12,8.908E+12,,,1,240,1,240,10.526316,2088.55488,250.62648,12,,,,2058.479568,percentage_discount,20,417.710976,50.125296,,,,,,,,,,,1871
Normal,Bihar,804404,Chakand Bazar Near masjid chakand gaya,200,FEBR1016,inactive,Akw Enterprises,859B6BB453-F,LMC21-22/BR00476,1724.822688,2022-01-21 07:40:46,2022-01-28 13:23:52,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,GO CHOCO,GO CHOCO,GO CHOCO JAR,GO CHOCO ROLLZ JAR 12 X 35 PCS X 12GR,175,322947,,,35,12,1,12,152,1461.714144,263.108544,18,,,,1824,,,,,,,,,,,,,,,1725
Normal,Bihar,804404,Chakand Bazar Near masjid chakand gaya,200,FEBR1016,inactive,Akw Enterprises,859B6BB453-G,LMC21-22/BR00440,4179.970944,2022-01-21 07:40:46,2022-01-28 13:11:08,1,Delivered,N Ranga Rao and Sons Pvt Ltd,Goodluck,Puja Products,AGARBATHI_GCTP,AGARBATHI (GCTP),10,GCTP,,,12,576,1,576,7.692307,3980.924928,199.046016,5,,,,4430.768832,,,,,,,,,,,,,,,4180
Normal,East Uttar Pradesh,233227,Yusufpur Bazaar Mohammadabad,8,FNUP0003,inactive,M/S SHAW AND SONS,2AE0D94319-A,LMC21-22/UP00759,3933.806144,2022-01-21 07:41:24,2022-01-28 17:21:31,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,MALKIST,MALKIST,MALKIST Singles,MALKIST CHOCOLATE GB 16X30X23GR (CHOCOLATE),150,320698,,,30,16,2,32,130,3333.734016,600.072128,18,,,,4160,,,,,,,,,,,,,,,3934
Normal,East Uttar Pradesh,233227,Yusufpur Bazaar Mohammadabad,8,FNUP0003,inactive,M/S SHAW AND SONS,2AE0D94319-B,LMC21-22/UP00760,8794.326264,2022-01-21 07:41:24,2022-01-28 17:21:30,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,KOPIKO,KOPIKO,KOPIKO JAR,KOPIKO CAPPUCINO 4X650X3.5G (CAPPUCINO (310251)),650,310251,,,650,4,3,12,575.000001,5825.73456,699.088152,12,,,,6900.000012,,,,,,,,,,,,,,,6525
Normal,East Uttar Pradesh,233227,Yusufpur Bazaar Mohammadabad,8,FNUP0003,inactive,M/S SHAW AND SONS,2AE0D94319-B,LMC21-22/UP00760,8794.326264,2022-01-21 07:41:24,2022-01-28 17:21:30,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,KOPIKO,KOPIKO,KOPIKO JAR,KOPIKO CAPPUCINO 12 JARX 240 X3.5G (CAPPUCINO),240,310240,,,240,12,1,12,200,2026.342452,243.1611,12,,,,2400,,,,,,,,,,,,,,,2270
Normal,Bihar,813211,GRAM RAMPUR DADHI POST PAKARIYA THANA BANKA,81,FNBR049,active,Dipanshu Traders,C081BCAFFE-A,LMC21-22/BR00516,7867.612288,2022-01-21 07:49:18,2022-01-28 13:33:25,1,Delivered,MAYORA India Pvt Ltd Formerly INBISCO India,MALKIST,MALKIST,MALKIST Singles,MALKIST CHEESE GB 16 X 30 X 23GR (CHEESE),150,321006,,,30,16,4,64,130,6667.468032,1200.144256,18,,,,8320,,,,,,,,,,,,,,,7868
